Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Constancia de Vehículo No Robado,Procuraduría General de Justicia,Procuraduría General de Justicia,4320.0,7.0,1.0,Nivel 3.1,1.0,1,0.571872547924738
Permiso provisional para conducir,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,15.0,4.0,1.0,Nivel 1,1.0,1,0.05286440100801959
Reinscripción UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,1.0,0.0,,1.0,1,0.1345610515215638
"Descuento a adultos mayores, personas con capacidades diferentes, pensionados y jubilados.",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,0.0,1.0,,1.0,1,0.14088559287035513
Examen de admisión de CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,5.0,0.0,Nivel 1,1.0,1,0.3464032406050199
"Publicaciones en el Periódico Oficial, que se realizan por una Plana y Media Plana.",Secretaría de Gobierno,Secretaría de Gobierno,30.0,0.0,0.0,Nivel 1,1.0,1,-0.20086966126398303
Inscripción UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,20.0,2.0,2.0,Nivel 1,1.0,1,0.28259564610702337
Expedición Tarjeta Preferente Tuzobús para la Persona Adulta Mayor,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,20.0,3.0,1.0,Nivel 1,1.0,1,-0.11515379142272525
Admisión UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,15.0,2.0,0.0,Nivel 3.7,1.0,0,-0.7304719781635298
Reposición de la Tarjeta Preferente Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,20.0,2.0,1.0,Nivel 1,1.0,1,-0.11515379142272525
