Idtram,Tramite,Secretaria,Dependencia,Domicilio,TraPersona,Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,nivel_digitalizacion,TraResolucionesFavorables,TraResolucionesNegativas,Porcentaje_Efectividad,TraCosto,Unnamed: 14,N,costo,nivel_digitalizacion_numT,tiempo_log,tiempo_bin,requisitos_bin,formatos_bin,nivel_tiempo,I_tiempo,I_tiempo_norm,Complejidad_tPCA,Complejidad_tPCA_norm,indice_tiempo,tiempo_0.3,tiempo_0.5,tiempo_0.7,rank_03,rank_05,rank_07,cambio,indice_base,dominancia,sensibilidad,tipo_analisis,tipo_dominancia,I_requisitos,I_formatos,I_digital,I_costo,I_requisitos_norm,I_formatos_norm,I_digital_norm,I_costo_norm,indice_complejidad,indice_complejidad_w,indice_sin_costo,rank_con,rank_sin,indice_complejidad_costo,digital_norm,indice_complejidad_ajuste,Complejidad_F1PCA,Complejidad_F1PCA_norm,I_requisitos_norm_z,I_formatos_norm_z,indice_tiempo_z,digital_norm_z,costo_z,indice_z,suma_N,suma_N_z,indice_z2,rank_z,rank_z2,cluster
7679.0,Transporte Público Masivo de Pasajeros Tuzobús.,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Calle s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,5.0,0.0,1.0,Nivel 1,21096550.0,0.0,100.0,VERDADERO,,1.0,1.0,1.0,1.791759469228055,"(1.645, 3.29]",0,0,-1.714003265983396,1.8846665238145945,0.9063330158789191,-1.3135023321579273,0.6280097531556289,-0.4038351250522384,-0.9279023814247014,-0.4038351250522384,0.12023213132022448,2.5,2.5,2.5,9.0,-0.4038351250522384,2.620336281862315,0.0,Dominado por rareza,Rareza,0.7503940547476008,0.7794752640484426,0.9314425368947573,0.35774963506849783,0.18293853110111424,0.17116739925186739,0.14330354688063304,0.2977600207297401,0.07826687458222328,0.0026628922296549977,0.023393588045344083,2.0,2.0,1.0935743521813763,0.9285714285714286,1.878842233872172,-0.27789975303687725,0.21470379995186134,-0.6876167590336074,-0.331019129974109,-1.6323450771003092,0.3558480270647023,0.655332548135531,-0.3279600781815585,0.35410593035298166,-0.6481640977248074,-0.3173321499062208,153.0,162.0,1
1743.0,Impuesto sobre Tenencia y Refrendo Vehicular (para vehículo particular y de demostración),Secretaría de Hacienda,Secretaría de Hacienda,Calle No. 1 Centro 42500 Pachuca De Soto Pachuca De Soto,Ambos,10.0,2.0,8.0,Nivel 4.1,368871.0,0.0,100.0,VERDADERO,,10.0,1.0,12.0,2.3978952727983707,"(1.645, 3.29]",3,2,-1.5143144958471886,1.8846665238145945,0.9063330158789191,-1.1721947624024844,0.6484134061251027,-0.30399073998413473,-0.7881202423293563,-0.30399073998413473,0.18013876236108672,21.0,18.0,18.0,-244.0,-0.30399073998413473,2.4206475117261075,3.0,Dominado por rareza,Rareza,2.8622008809294686,2.6931245508855346,3.6094152827596893,0.35774963506849783,0.6977758173332946,0.5913916021429794,0.5553128525877803,0.2977600207297401,0.36764991056193197,0.06338206175224892,0.3851223830199799,371.0,487.0,2.5404895320799197,0.1428571428571429,2.1280338223492823,4.078125886992875,0.8473140900698267,2.3745329276275617,2.298066288223392,-1.4379754668868268,-2.8737156428835626,0.655332548135531,0.2032481308432191,1.2891674194762741,2.9483352357897377,-0.17700583146128018,482.0,238.0,3
9229.0,Canje de Placas,Secretaría de Hacienda,Secretaría de Hacienda,Calle 801 Canutillo 42060 Pachuca De Soto Pachuca De Soto,Ambos,20.0,3.0,10.0,,423743.0,0.0,100.0,VERDADERO,,13.0,1.0,0.0,3.044522437723423,"(1.645, 3.29]",3,3,-1.3012860250986082,1.8846665238145945,0.9063330158789191,-1.0214474997012946,0.6701800732581964,-0.19747650460984456,-0.6390003128053501,-0.19747650460984456,0.24404730358566085,77.5,72.5,142.5,-10.0,-0.19747650460984456,2.2076190409775274,65.0,Dominado por rareza,Rareza,2.8622008809294686,4.014880390867853,1.157452788691043,0.35774963506849783,0.6977758173332946,0.881640080844775,0.1780754940817648,0.2977600207297401,0.37155498167594603,0.05941802871222868,0.3900037219124975,375.0,492.0,2.5600148876499897,1.0,3.381939393568225,3.637936378463103,0.7833869152297811,2.3745329276275617,4.113973220187112,-1.2306214890165004,0.6494447243327263,0.655332548135531,1.312532386253286,1.5794158981780697,4.064709369840913,1.0347162883231675,660.0,650.0,3
533.0,Servicio de laboratorio clínico en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,1440.0,0.0,2.0,Nivel 1,620.0,0.0,100.0,FALSO,,2.0,0.0,1.0,7.273092595999522,"(6.579, 8.224]",1,0,0.09179778444881154,1.3639886036055924,0.6559398647502834,0.645434726469701,0.9108641819909257,0.3738688245995475,0.2610404085392531,0.3738688245995475,0.4866972406598418,301.0,292.0,287.0,1.0,0.3738688245995475,0.5641420803014718,14.0,Dominado por rareza,Rareza,1.157452788691043,0.7794752640484426,0.9314425368947573,1.2014696741078175,0.2821753605887091,0.17116739925186739,0.14330354688063304,1.0,0.39410302626415145,0.06488057833265705,0.24262878283018927,444.5,265.5,0.9705151313207571,0.9285714285714286,1.7557830130115528,-1.0604386881868757,0.10105842141123754,-0.0973758529317829,-0.331019129974109,-0.11836896865719482,0.3558480270647023,-1.5236481744151096,-0.34291281978269883,0.4533427598405765,-0.26647241726979976,-0.38816038331935043,144.5,145.5,2
10885.0,Cambio de Propietario,Secretaría de Hacienda,Secretaría de Hacienda,Calle 1 Centro 42500 Actopan Actopan,Ambos,1440.0,2.0,7.0,,88932.0,0.0,100.0,VERDADERO,,9.0,1.0,0.0,7.273092595999522,"(6.579, 8.224]",3,2,0.09179778444881154,1.3639886036055924,0.6559398647502834,0.645434726469701,0.9108641819909257,0.3738688245995475,0.2610404085392531,0.3738688245995475,0.4866972406598418,301.0,292.0,287.0,-10.0,0.3738688245995475,0.5641420803014718,14.0,Dominado por rareza,Rareza,2.8622008809294686,2.6931245508855346,1.157452788691043,0.35774963506849783,0.6977758173332946,0.5913916021429794,0.1780754940817648,0.2977600207297401,0.42777435177746526,0.08284063479016433,0.4602779345393966,516.0,574.0,2.8411117381575863,1.0,3.6630362440758217,2.6998713627131496,0.6471550307546845,2.3745329276275617,2.298066288223392,-0.11836896865719482,0.6494447243327263,0.655332548135531,1.1718015039324032,1.2891674194762741,2.9483352357897377,1.0336858849002,659.0,649.0,3
983.0,Certificado de Existencia o Inexistencia de Gravamen (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,Ambos,8640.0,2.0,1.0,,47334.0,0.0,100.0,VERDADERO,,3.0,1.0,0.0,9.0642735958414,"(8.224, 9.869]",0,2,0.681894473743414,1.9459101490553135,0.9357849740192016,0.3018176657352737,0.8612486994392857,0.8088397238813079,0.7580616238261502,0.8088397238813079,0.8596178239364652,475.0,475.0,526.0,11.0,0.8088397238813079,0.2538905002757875,51.0,Dominado por rareza,Rareza,0.7503940547476008,2.6931245508855346,1.157452788691043,0.35774963506849783,0.18293853110111424,0.5913916021429794,0.1780754940817648,0.2977600207297401,0.41180107438738134,0.08779576523500783,0.44031133780179155,482.5,547.5,2.761245351207166,1.0,3.5831698571254016,0.6373289533342967,0.3476192474967945,-0.6876167590336074,2.298066288223392,0.7283999717287428,0.6494447243327263,0.655332548135531,0.728725354677357,0.7743301332440936,0.968131817789352,0.750327265496588,620.5,631.5,3
1064.0,Asesoría Jurídica.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,Calle 102 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,Ambos,0.0,0.0,0.0,Nivel 1,4207.0,0.0,100.0,FALSO,,0.0,0.0,1.0,0.0,"(-0.0142, 1.645]",0,0,-2.30429052946881,4.890349128221754,2.35176081183373,-5.662847625077142,0.0,0.023735141182460007,-0.907475127078048,0.023735141182460007,0.9549454094429678,6.0,212.0,601.0,5.0,0.023735141182460007,4.65605134130254,595.0,Dominado por rareza,Rareza,0.7503940547476008,0.7794752640484426,0.9314425368947573,1.2014696741078175,0.18293853110111424,0.17116739925186739,0.14330354688063304,1.0,0.30422892368321497,0.040891888026482956,0.13028615460401868,251.5,105.5,0.5211446184160747,0.9285714285714286,1.3064125001068703,-1.3862211707038126,0.05374617676178162,-0.6876167590336074,-0.331019129974109,-0.7999831377661509,0.3558480270647023,-1.5236481744151096,-0.5972838348248549,0.35410593035298166,-0.6481640977248074,-0.6539868457103414,52.5,57.5,2
572.0,Expedición de Constancia de NO Antecedentes Penales,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle S/N Centro Cívico 42083 Pachuca De Soto Pachuca De Soto,Social,60.0,1.0,5.0,Nivel 2,38726.0,0.0,100.0,VERDADERO,,6.0,1.0,2.0,4.110873864173311,"(3.29, 4.934]",2,1,-0.9499812454988888,1.754854912292604,0.8439068264813923,-0.6030482046841065,0.7305934964950244,-0.053037209508748295,-0.41181482390480445,-0.053037209508748295,0.30574040488730786,199.5,194.5,194.5,-50.0,-0.053037209508748295,1.7938880719802812,5.0,Dominado por rareza,Rareza,1.9671875475025984,0.8094275863317937,2.2512917986064953,0.35774963506849783,0.4795805591257976,0.1777447229249331,0.3463639323142087,0.2977600207297401,0.24968240511718626,0.04508753393726613,0.23766300121404776,176.0,261.0,1.9506520048561913,0.8571428571428572,2.46143092968484,0.935659348953731,0.3909447220737827,1.076750969291078,-0.2898688448628465,-0.9494378303744986,0.062251329796678356,0.655332548135531,0.11100563439718844,0.6573252820507307,0.5180995212722054,0.07156139220747904,421.0,371.0,1
490.0,Radiología e Imagenología del Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,1440.0,0.0,1.0,Nivel 1,413.0,0.0,100.0,FALSO,,1.0,0.0,1.0,7.273092595999522,"(6.579, 8.224]",0,0,0.09179778444881154,1.3639886036055924,0.6559398647502834,0.645434726469701,0.9108641819909257,0.3738688245995475,0.2610404085392531,0.3738688245995475,0.4866972406598418,301.0,292.0,287.0,3.0,0.3738688245995475,0.5641420803014718,14.0,Dominado por rareza,Rareza,0.7503940547476008,0.7794752640484426,0.9314425368947573,1.2014696741078175,0.18293853110111424,0.17116739925186739,0.14330354688063304,1.0,0.37425566036663244,0.06101666199389237,0.21781957545829056,389.0,188.0,0.8712783018331622,0.9285714285714286,1.6565461835239579,-1.4441338664836667,0.0453357195454286,-0.6876167590336074,-0.331019129974109,-0.11836896865719482,0.3558480270647023,-1.5236481744151096,-0.4609610010030637,0.35410593035298166,-0.6481640977248074,-0.4835833034331024,92.0,95.0,2
1095.0,Patrocinio Jurídico.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,Calle 102 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,Social,1440.0,0.0,1.0,Nivel 1,51492.0,0.0,100.0,FALSO,,1.0,0.0,1.0,7.273092595999522,"(6.579, 8.224]",0,0,0.09179778444881154,1.3639886036055924,0.6559398647502834,0.645434726469701,0.9108641819909257,0.3738688245995475,0.2610404085392531,0.3738688245995475,0.4866972406598418,301.0,292.0,287.0,3.0,0.3738688245995475,0.5641420803014718,14.0,Dominado por rareza,Rareza,0.7503940547476008,0.7794752640484426,0.9314425368947573,1.2014696741078175,0.18293853110111424,0.17116739925186739,0.14330354688063304,1.0,0.37425566036663244,0.06101666199389237,0.21781957545829056,389.0,188.0,0.8712783018331622,0.9285714285714286,1.6565461835239579,-1.4441338664836667,0.0453357195454286,-0.6876167590336074,-0.331019129974109,-0.11836896865719482,0.3558480270647023,-1.5236481744151096,-0.4609610010030637,0.35410593035298166,-0.6481640977248074,-0.4835833034331024,92.0,95.0,2
