Idtram,Tramite,Secretaria,Dependencia,Domicilio,TraPersona,Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,nivel_digitalizacion,TraResolucionesFavorables,TraResolucionesNegativas,Porcentaje_Efectividad,TraCosto,,N
10837,Admisión COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,"Circuito Lote 17, San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca",Social,10,0,3,Nivel 1,14182,0,100,VERDADERO,,3
1269,Legalización de Documentos,Secretaría de Gobierno,Secretaría de Gobierno,Calle S/N Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,20,0,0,Nivel 1,16207,1600,91.01476947,VERDADERO,,0
779,Reinscripción COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,"Circuito Lote 17, San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca",Social,10,0,0,Nivel 1,52697,0,100,VERDADERO,,0
748,"Inscripción de Alfabetización, Primaria y Secundaria Abierta de Educación para Adultos",Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,Circuito s.n. San Juan Tilcuautla 42160 San Agustín Tlaxiaca San Agustín Tlaxiaca,Social,120,1,4,Nivel 1,11430,0,100,FALSO,,5
904,Bolsa de Trabajo y Abriendo Espacios,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,Social,,0,0,,0,0,0,FALSO,,0
630,Reinscripción UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,Avenida 1000 El 61 42830 El Carmen (La Mesita) Tula De Allende,Social,15,0,2,Nivel 1,3295,0,100,VERDADERO,,2
8300,Becas Institucionales UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Carretera s/n El Nith 42300 El Nith Ixmiquilpan,Social,,0,0,Nivel 1,2500,535,82.3723229,FALSO,,0
1268,Apostillas,Secretaría de Gobierno,Secretaría de Gobierno,Ampliación S/N Centro 42000 Pachuca De Soto Pachuca De Soto,Social,20,0,0,Nivel 1,3121,450,87.39848782,VERDADERO,,0
1414,Acreditación de Primaria y Secundaria Abierta de Educación para Adultos,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,Circuito s.n. San Juan Tilcuautla 42160 San Agustín Tlaxiaca San Agustín Tlaxiaca,Social,8640,0,2,Nivel 1,7998,0,100,FALSO,,2
828,Certificación de Primaria y Secundaria Abierta de Educación para Adultos,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,Circuito s.n. San Juan Tilcuautla 42160 San Agustín Tlaxiaca San Agustín Tlaxiaca,Social,12960,0,1,Nivel 1,7321,0,100,FALSO,,1
1244,(Inscripción y Reinscripción) por módulo CONALEPH.,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle 4.5 Parque Industrial CANACINTRA 42083 El Saucillo Mineral De La Reforma,Social,,0,4,Nivel 1,7544,0,100,VERDADERO,,4
1206,Reinscripción UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,Social,,0,1,,6872,0,100,VERDADERO,,1
631,Educación Continua UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,Calle 1000 El 61 42830 El Carmen (La Mesita) Tula De Allende,Ambos,120,1,6,Nivel 2,1604,240,86.98481562,VERDADERO,,7
10839,Conciliación prejudicial laboral,Secretaría de Trabajo y Previsión Social,Centro de Conciliación Laboral del Estado de Hidalgo,Avenida 394 La Concepción 42160 San Juan Tilcuautla San Agustín Tlaxiaca,Ambos,,0,0,,6205,1,99.98388656,FALSO,,0
10973,Por Búsqueda de Testamento y Expedición de Constancia,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,,1,0,,5759,0,100,VERDADERO,,1
6931,Reinscripción UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,Social,1440,0,1,Nivel 4.2,6717,0,100,VERDADERO,,1
6935,Credencial Institucional UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,Social,1440,0,0,Nivel 4.2,1200,0,100,FALSO,,0
7561,Evaluación Segunda Oportunidad (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,Carretera 0 Cinta larga 42700 Mixquiahuala De Juárez Mixquiahuala De Juárez,Social,4320,0,1,,9556,0,100,VERDADERO,,1
961,Asesoria en materia de Seguridad y Salud en el Trabajo,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,Ambos,,1,0,,0,0,0,FALSO,,1
694,Autorregulación Ambiental,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,Calle 100 Adolfo López Mateos 42094 Pachuca De Soto Pachuca De Soto,Social,36000,2,4,,40,20,66.66666667,VERDADERO,,6
1247,Póliza de Accidentes Personales Escolares en CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle 4.5 Parque Industrial CANACINTRA 42083 Pachuquilla Mineral De La Reforma,Social,,0,2,Nivel 1,3908,0,100,VERDADERO,,2
6938,Historial académico UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,Social,1440,0,0,Nivel 4.2,7500,0,100,FALSO,,0
1020,Asesorías laborales sobre tus derechos y obligaciones como trabajador.,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,Social,,0,0,,0,0,0,FALSO,,0
477,Escuela de Fútbol Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle - Periodistas 42060 Pachuca De Soto Pachuca De Soto,Social,10,1,4,Nivel 2,1500,200,88.23529412,VERDADERO,,5
334,Servicio de inscripción a cursos de Formación de Capital Humano,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,Calle 605 Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Ambos,,0,0,,0,0,0,FALSO,,0
1318,Constancia de Vehículo No Robado,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle Km 84.5 SPAUAH 42083 Pachuca De Soto Pachuca De Soto,Ambos,4320,1,7,Nivel 3.1,0,0,0,VERDADERO,,8
1288,Permiso provisional para conducir,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,Calle 301 Valle de San Javier 0 Pachuca De Soto Pachuca De Soto,Social,15,1,4,Nivel 1,2316,0,100,VERDADERO,,5
358,Reinscripción UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,Carretera Km. 100 Tramo Pachuca-Huejutla 43200 Zacualtipán De Ángeles Zacualtipán De Ángeles,Social,,0,1,,2153,0,100,VERDADERO,,1
661,"Descuento a adultos mayores, personas con capacidades diferentes, pensionados y jubilados.",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,Calle 27 Segunda Demarcación 42660 Tepatepec Francisco I. Madero,Social,,1,0,,2108,0,100,VERDADERO,,1
1245,Examen de admisión de CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle 4.5 Parque Industrial CANACINTRA 42083 El Saucillo Mineral De La Reforma,Social,,0,5,Nivel 1,2095,25,98.82075472,VERDADERO,,5
1260,"Publicaciones en el Periódico Oficial, que se realizan por una Plana y Media Plana.",Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,30,0,0,Nivel 1,1200,10,99.17355372,VERDADERO,,0
1233,Inscripción UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,Carretera s/n Tepoxteco 43000 Huejutla De Reyes Huejutla De Reyes,Social,20,2,2,Nivel 1,1832,0,100,VERDADERO,,4
1504,Expedición Tarjeta Preferente Tuzobús para la Persona Adulta Mayor,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Calle S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,20,1,3,Nivel 1,1764,0,100,VERDADERO,,4
1184,Admisión UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,Social,15,0,2,Nivel 3.7,1184,0,100,VERDADERO,,2
1505,Reposición de la Tarjeta Preferente Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Calle S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,20,1,2,Nivel 1,1648,0,100,VERDADERO,,3
10974,Por la Expedición de Copias Certificadas de Escrituras Resguardadas en el Archivo General de Notarías,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,,1,0,,1418,0,100,VERDADERO,,1
670,Cursos musicales EMEH,Secretaría de Cultura,Escuela de Música del Estado de Hidalgo,Calle 201 Centro 42000 Pachuca De Soto Pachuca De Soto,Social,,0,1,,130,27,82.80254777,VERDADERO,,1
1205,Inscripción UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,Social,10,2,3,Nivel 4.1,1386,0,100,VERDADERO,,5
8289,Titulación UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Carretera S/N El Nith 42300 El Nith Ixmiquilpan,Social,259200,1,6,Nivel 1,1317,0,100,VERDADERO,,7
1633,Reinscripción UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,Calle 1000 Paseos de Chavarría 42186 Pachuquilla Mineral De La Reforma,Social,5,0,0,Nivel 3.5,287,0,100,VERDADERO,,0
7282,Solicitud de Examen de Admisión UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,Boulevard 5 Los Héroes Tizayuca 43816 Tizayuca Tizayuca,Social,2880,1,3,Nivel 1,375,0,100,VERDADERO,,4
347,Solicitud de examen de admisión UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,Carretera Km. 100 Tramo Pachuca-Huejutla 43200 Zacualtipán De Ángeles Zacualtipán De Ángeles,Social,,1,4,,1031,0,100,VERDADERO,,5
429,Prestación de servicios de la Alberca semiolímpica del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle #104 Carlos Rovirosa 42082 Pachuca De Soto Pachuca De Soto,Social,60,3,3,Nivel 2,8951,500,94.70955454,VERDADERO,,6
7207,Reposición de Credencial UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,Calle s/n Domicilio Conocido 42660 Tepatepec Francisco I. Madero,Social,480,0,1,Nivel 1,150,0,100,VERDADERO,,1
6993,Constancia Escolar UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,Carretera s/n Tepoxteco 43000 Huejutla De Reyes Huejutla De Reyes,Social,1455,0,1,,1000,0,100,VERDADERO,,1
1259,Publicación en el Periódico Oficial de Avisos Judiciales que deberán publicarse por disposición de Ley.,Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,20,0,0,Nivel 1,1250,5,99.60159363,VERDADERO,,0
1765,"Certificación en estándares de competencia del CONOCER, a través del ICATHI",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,Calle Lote 17 San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca,Social,30,0,2,Nivel 1,473,7,98.54166667,VERDADERO,,2
350,Inscripción UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,Carretera Km. 100 Tramo Pachuca-Huejutla 43200 Zacualtipán De Ángeles Zacualtipán De Ángeles,Social,,0,6,,804,0,100,VERDADERO,,6
840,Inscripción a los cursos de capacitación presenciales del ICATHI,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,Calle Lote 17 San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca,Ambos,60,1,1,Nivel 3.1,73362,0,100,VERDADERO,,2
6737,Titulación UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,Calle s/n Domicilio Conocido 42660 Tepatepec Francisco I. Madero,Social,518400,0,8,Nivel 3.9,750,0,100,VERDADERO,,8
7961,Emisión de constancias de estudio UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Carretera S/N El Nith 42300 El Nith Ixmiquilpan,Social,10,0,1,Nivel 1,672,0,100,VERDADERO,,1
10525,Certificado de Estudios UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,Calle s/n Domicilio Conocido 42660 Tepatepec Francisco I. Madero,Social,21600,0,1,Nivel 1,600,0,100,VERDADERO,,1
9072,Admisión- UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,Carretera s/n El Desdavi 43487 El Desdavi Tenango De Doria,Social,,0,3,,208,251,45.31590414,VERDADERO,,3
8190,Historial Académico UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,Boulevard 1009 San Javier 43860 Tolcayuca Tolcayuca,Social,180,0,1,Nivel 3.7,653,0,100,VERDADERO,,1
8138,Titulación UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,Boulevard 5 Los Héroes Tizayuca 43816 Tizayuca Tizayuca,Social,2880,2,7,Nivel 3.1,36,0,100,VERDADERO,,9
7271,Inscripción UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,Boulevard 5 Los Héroes Tizayuca 43816 Tizayuca Tizayuca,Social,2880,0,5,Nivel 4.3,257,0,100,VERDADERO,,5
1643,Credencialización UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,Calle 1000 Paseos de Chavarría 42186 Pachuquilla Mineral De La Reforma,Social,15,0,0,Nivel 3.5,520,0,100,VERDADERO,,0
1575,Capacitación en elaboración de quesos y derivados lácteos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,"Carretera S/N Venta Prieta, Ex Centro Minero 42080 Pachuca De Soto Pachuca De Soto",Ambos,14400,1,1,Nivel 2,537,10,98.17184644,FALSO,,2
540,Constancia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,25,1,3,Nivel 1,503,0,100,VERDADERO,,4
9518,Inscripción a cursos de Educación Continua UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,Carretera S/N Tepoxteco 43000 Tepoxteco Huejutla De Reyes,Ambos,4320,1,1,Nivel 2,39,0,100,VERDADERO,,2
351,Servicio de Diseño de Imagen Corporativa o Logotipo,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,Calle 605 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Empresarial,,0,1,,111,0,100,VERDADERO,,1
8326,Titulación UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,Calle 34 La Tahona 42344 Zimapán Zimapán,Social,216000,0,6,Nivel 1,397,0,100,VERDADERO,,6
8327,Certificado Parcial de Estudios UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,Calle 34 LA Tahona 42344 Zimapán Zimapán,Social,7200,0,1,Nivel 3.9,397,0,100,VERDADERO,,1
7527,Cursos de Verano (asignaturas) ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,Calle S/N El Saucillo 42411 Huichapan Huichapan,Social,21600,0,1,Nivel 1,210,0,100,VERDADERO,,1
1588,Constancia de estudios o Constancia de estudios con calificaciones UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,Carretera S/N Ejido de Zaragoza 42820 San Miguel Vindho Tula De Allende,Social,4320,0,1,Nivel 1,357,0,100,VERDADERO,,1
1432,Expedición de finiquito o Constancia de no adeudo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,20,1,3,Nivel 1,234,97,70.69486405,VERDADERO,,4
1632,Inscripción UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,Calle 1000 Paseos de Chavarría 42186 Pachuquilla Mineral De La Reforma,Social,15,0,5,Nivel 3.1,233,0,100,VERDADERO,,5
637,Derecho de Preferencia,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Social,25,1,4,Nivel 1,25,0,100,VERDADERO,,5
636,Derecho de Preferencia,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,25,1,4,,25,0,100,VERDADERO,,5
9364,Servicio: Asesoría especializada en Acompañamiento y Desarrollo Empresarial,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,Calle 605 Venta Prrieta 42083 Pachuca De Soto Pachuca De Soto,,,0,0,,0,0,0,FALSO,,0
8259,Constancia Escolar UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,Calle s/n Tepoxtequito 43000 Huejutla De Reyes Huejutla De Reyes,Social,30,0,1,Nivel 2,150,0,100,VERDADERO,,1
9038,Elaboración de Escrituras - Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,40,1,4,Nivel 1,181,0,100,VERDADERO,,5
1554,Revalidación de Estudios de Educación Básica,Secretaría de Educación Pública,Instituto Hidalguense de Educación,Boulevard s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,2880,1,3,Nivel 2,240,0,100,VERDADERO,,4
1462,Escuelas de Iniciación Técnico Deportivas del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle 104 Carlos Rovirosa 42082 Pachuca De Soto Pachuca De Soto,Social,10,1,3,Nivel 2,1850,60,96.85863874,VERDADERO,,4
8137,Credencial Escolar UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,Calle 34 La Tahona 42350 Zimapán Zimapán,Social,1440,0,1,Nivel 1,233,0,100,VERDADERO,,1
1781,Captación de Leche en Centros de Acopio.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,"Carretera S/N Venta Prieta, Ex Centro Minero 42080 Pachuca De Soto Pachuca De Soto",Ambos,1440,1,0,Nivel 2,221,0,100,FALSO,,1
1264,"Publicación en el Periódico Oficial, que realizan los Municipios de instrumentos legales.",Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,,0,0,Nivel 1,208,8,96.2962963,VERDADERO,,0
11334,"Publicación en el Periódico Oficial, que realizan los Municipios de instrumentos legales.",Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,,0,0,,208,8,96.2962963,VERDADERO,,0
981,Constancias de estudios con calificaciones de Primaria General,Secretaría de Educación Pública,Instituto Hidalguense de Educación,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,45,1,1,Nivel 2,3006,0,100,FALSO,,2
1580,Solicitud de Fichas de Ingreso UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,Carretera S/N Ejido de Zaragoza 42820 San Miguel Vindho Tula De Allende,Social,2880,1,3,Nivel 1,195,0,100,VERDADERO,,4
7072,Capacitación,Secretaría de Hacienda,Instituto Catastral,Calle 105 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,,172800,1,1,,0,0,0,VERDADERO,,2
549,Solicitud de factibilidad para la contratación del servicio de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,Calle 27 Segunda Demarcación 42660 Tepatepec Francisco I. Madero,Social,,1,3,,170,16,91.39784946,VERDADERO,,4
8709,Cédula de Validación Estatal Impulso NAFIN-Hidalgo,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,Calle 305 Zona Plateada 42084 Pachuca De Soto Pachuca De Soto,Empresarial,15,1,1,Nivel 3.1,171,0,100,FALSO,,2
10975,Por expedición de primeros y segundos testimonios,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,,1,0,,0,0,0,VERDADERO,,1
1583,Inscripción UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,Carretera S/N Ejido de Zaragoza 42820 San Miguel Vindho Tula De Allende,Social,30,1,3,Nivel 1,156,0,100,VERDADERO,,4
10095,Financiamiento para Estudios de Nivel Superior,Secretaría de Educación Pública,Instituto Hidalguense de Financiamiento a la Educación Superior,Calle 100 Lomas Residencial Pachuca 42094 Pachuca De Soto Pachuca De Soto,Social,2880,1,5,Nivel 1,155,0,100,VERDADERO,,6
585,Talleres artísticos especializados del Centro de las Artes de Hidalgo.,Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,Calle S/N Centro 42000 Pachuca De Soto Pachuca De Soto,Social,14400,0,0,Nivel 1,0,0,0,VERDADERO,,0
5525,Expedición de Certificados Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,Circuito Lote 17 San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca,Social,30,0,2,Nivel 1,139,0,100,VERDADERO,,2
7973,Equivalencia de Estudios de tipo Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42186 San Juan Tilcuautla San Agustín Tlaxiaca,Social,7200,1,5,Nivel 4.1,133,0,100,VERDADERO,,6
7587,Acreditación de la Lengua Extranjera ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,"Calle sin numero El Saucillo Huichapan, Hgo. 42411 Huichapan Huichapan",Social,34560,0,1,Nivel 1,110,0,100,VERDADERO,,1
8751,"Validación de trabajos con maquinaria pesada, para su ejecución mediante cuotas de recuperación.",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Centro Estatal de Maquinaria para el Desarrollo,Calle 102 Rancho San Cayetano 42186 San Fernando Mineral De La Reforma,Social,10080,1,0,Nivel 1,104,0,100,FALSO,,1
669,Cambio de nombre del titular de contrato de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,Calle 27 Segunda Demarcación 42660 Tepatepec Francisco I. Madero,Social,,1,1,,39,1,97.5,VERDADERO,,2
5526,Expedición de Historial Académico Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,Circuito Lote 17 San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca,Social,30,0,1,Nivel 1,64,0,100,VERDADERO,,1
8373,Constitución de Sociedades Cooperativas y Sociedades de Responsabilidad Limitada Microindustrial o Artesanal.,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,Camino 305 Zona Plateada 42084 Pachuca De Soto Pachuca De Soto,Empresarial,15,1,3,,39,0,100,FALSO,,4
1128,Autorizaciones provisionales para profesionistas,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Circuito Ex Hacienda La Concepción 42186 San Juan Tilcuautla San Agustín Tlaxiaca,Social,60,2,9,Nivel 2,24,0,100,VERDADERO,,11
9950,"Titulación Nivel Licenciatura, Grado Académico Maestría y Especialidad UNIDEH.",Secretaría de Educación Pública,Universidad Digital del Estado de Hidalgo,Boulevard Mza. 10 Santa Catarina 42163 San Miguel Tornacuxtla San Agustín Tlaxiaca,Social,30,0,4,,50,0,100,VERDADERO,,4
1541,Refrendo anual de registro de perito valuador,Secretaría de Hacienda,Instituto Catastral,Calle 105 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,,172800,2,2,,0,0,0,VERDADERO,,4
4808,Becas Institucionales UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,Boulevard 1009 San Javier 43860 Tolcayuca Tolcayuca,Social,87840,0,2,Nivel 1,46,0,100,FALSO,,2
1690,Vinculación al Servicio Social y Prácticas Profesionales,Oficialía Mayor,Oficialía Mayor,Avenida 100 A Centro 42000 Pachuca De Soto Pachuca De Soto,Social,7200,1,1,,226,0,100,FALSO,,2
6614,Ficha para Examen de Admisión UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Carretera S/N Santa Bárbara 43830 Zempoala Zempoala,Social,80,0,2,Nivel 3.7,281,250,52.91902072,VERDADERO,,2
7969,Expedición de Credencial Escolar Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,Circuito Lote 17 San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca,Social,30,0,1,Nivel 1,41,0,100,VERDADERO,,1
10078,Inscripción registro de perito Topográfo (Catastral),Secretaría de Hacienda,Instituto Catastral,Calle 105 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,,172800,2,1,Nivel 1,0,0,0,VERDADERO,,3
682,Consulta Documental en temas de Población,Secretaría de Gobierno,Consejo Estatal de Población,Calle 308 Periodistas 42060 Pachuca De Soto Pachuca De Soto,Social,1440,0,1,Nivel 1,23,0,100,FALSO,,1
1448,Atención jurídica en materia familiar.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,Calle 118 San Carlos 42084 Pachuca De Soto Pachuca De Soto,Social,50,0,0,,0,0,0,FALSO,,0
8260,Historial Académico UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,Calle S/N Tepoxtequito 43000 Huejutla De Reyes Huejutla De Reyes,Social,30,0,1,Nivel 2,100,0,100,VERDADERO,,1
626,Información de Predios con Potencial para el Desarrollo de Parques Industriales.,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,Carretera S/N Las Colonias 42083 Pachuca De Soto Pachuca De Soto,Empresarial,,0,0,,0,0,0,FALSO,,0
10600,Constancia de Estudios (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,Boulevard 3 Circuito de la Concepción 42162 San Agustín Tlaxiaca San Agustín Tlaxiaca,Social,7200,1,0,Nivel 1,10,0,100,VERDADERO,,1
