Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z
Inscripción al Padrón de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,21600.0,0.0,0.0,Nivel 1,1.0,1,0.17286859857349932
Inscripción al Padrón de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,1,0.03355448296066921
Revalidación del Registro de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,1,0.03355448296066921
Revalidación del Registro de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,21600.0,0.0,0.0,Nivel 1,1.0,1,0.17286859857349932
Prestación de servicios del Complejo Deportivo Revolución Mexicana del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,3.0,3.0,Nivel 2,1.0,3,0.6592411556601423
Caja general del Sistema DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,10.0,0.0,0.0,,0.0,2,-0.6661629611953853
Capacitar con temas gerontológicos a los enlaces y/o personas que estén al frente de grupos de personas adultas mayores de los diferentes DIF Municipales.,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,7200.0,1.0,0.0,,0.0,2,-0.24457940233265724
Centros de Desarrollo Comunitario Urbanos (CDC),Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.40224166154945895
"Acompañamiento, asistencia y seguimiento de proyectos de inversión",Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,60.0,0.0,1.0,Nivel 3.1,0.0,2,-0.7363833952314816
Comercialización de prendas no desempeñadas,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.40224166154945895
Credencialización para Personas con Discapacidad Permanente,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,3.0,0.0,,0.0,2,-0.284193480329094
"Apoyo con Estudios de gabinete, laboratorio y medicamentos",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4609610010030637
Apoyo de Gastos Funerarios,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,3.0,0.0,,0.0,2,-0.284193480329094
Jornadas Médicas de Subespecialidad,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,1.0,Nivel 1,0.0,2,-0.3346827627604463
Ayudas Técnicas,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,2,-0.4609610010030637
Servicio de Atención Psicológica,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,2,-0.4609610010030637
Servicio de Estacionamiento Plaza Independencia Reloj Monumental,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.40224166154945895
Licencia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,8.0,2.0,Nivel 1,1.0,3,0.9034569337039657
Taller Laboratorio de Órtesis y Prótesis,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 1,0.0,2,-0.34291281978269883
Consulta Médica en el Servicio de Urgencias en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,2,-0.4609610010030637
Por actualización o reexpedición de órdenes de escrituración,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,4.0,1.0,,1.0,1,0.1850328548730261
Autorización de Fusión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,7.0,1.0,Nivel 1,1.0,1,0.37304463378968966
Autorización de Subdivisión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,6.0,2.0,Nivel 1,1.0,3,0.6447726330537463
Autorización de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,14.0,1.0,Nivel 1,1.0,1,0.7453837616589836
Por trámite de avalúo y traslado de Dominio de la Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,5.0,1.0,,1.0,1,0.1850328548730261
Entrega de paquetes de Conejos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,2880.0,1.0,1.0,Nivel 2,0.0,2,-0.46701822969443996
Albergue del Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,2,-0.4609610010030637
Autorización de Relotificación de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,8.0,1.0,Nivel 1,1.0,1,0.37304463378968966
Alerta AMBER en Hidalgo,Procuraduría General de Justicia,Procuraduría General de Justicia,10.0,4.0,0.0,Nivel 3.5,0.0,2,-0.7243247917056819
Autorización de Protocolización,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,4.0,1.0,Nivel 1,0.0,2,-0.3223079023877352
Autorización de Venta de Lotes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,10.0,1.0,Nivel 1,1.0,1,0.3867419981037953
Autorización de Régimen de Propiedad en Condominio,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,11.0,1.0,Nivel 1,1.0,1,0.7453837616589836
Inscripción UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,15.0,3.0,0.0,Nivel 1,1.0,1,-0.14700738002920394
Búsqueda de documentos en archivo y expedición de copias,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,15.0,1.0,1.0,,1.0,1,-0.19810616477371162
Expedición de constancias de Propiedad y/o Posesión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,4.0,1.0,,1.0,1,0.1850328548730261
Dictamen de Estudio de impacto Urbano y Vial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,4.0,1.0,Nivel 1,1.0,1,0.12631351541942132
Reposición de Acta Entrega,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,3.0,1.0,Nivel 1,1.0,1,-0.10851184902515087
Copias Certificadas y Simples,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,1.0,1.0,Nivel 1,1.0,1,-0.23938530354254417
Copia de Plano,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,1,-0.167840690791911
Elaboración de Croquis de Localización por Lote,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,1,-0.167840690791911
Marcado de lotes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,1,-0.167840690791911
Entrega física del lote por segunda vez,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,1,-0.167840690791911
Levantamiento Topográfico,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,1,-0.167840690791911
Capacitación Acuícola y Pesquera,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,43200.0,0.0,1.0,Nivel 2,0.0,2,-0.26896400199734094
Admisión UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,1.0,0.0,Nivel 1,1.0,1,-0.025164856492935584
Solicitud de baja temporal ó toma muerta del servicio de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,0.0,1.0,,0.0,2,-0.3940116045272064
Director Responsable y Corresponsable Modalidad Registro de DRyC,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,5.0,2.0,Nivel 1,1.0,3,0.643900542036669
Instalación física de toma de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,1.0,0.0,,0.0,2,-0.40224166154945895
"Asesoría de la Incubadora de Empresas del ICATHI, para iniciar o fortalecer un negocio",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,60.0,1.0,0.0,Nivel 1,1.0,1,-0.19137862883639634
Inscripción COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,10.0,6.0,0.0,Nivel 1,1.0,1,0.0637873895260751
Constancia de Persona Concesionaria y/o Permisionaria,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,,1.0,1,-0.04979250957154606
Inscripción UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,2.0,0.0,Nivel 1,1.0,1,0.09288332472742933
Reinscripción UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,1.0,0.0,Nivel 1,1.0,1,-0.025164856492935584
Otorgamiento o Renovación de Permisos del Servicio Privado y Complementario de Transporte de Personas y Bienes,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,10.0,1.0,,1.0,1,0.4445892465403228
Mediación y Conciliación en Materia Penal,Procuraduría General de Justicia,Procuraduría General de Justicia,15.0,2.0,0.0,Nivel 3.1,0.0,2,-0.7002422034465418
Inscripción UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,2880.0,1.0,0.0,Nivel 4.2,1.0,0,-0.6853648761962173
Admisión UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,2880.0,3.0,0.0,Nivel 4.2,1.0,0,-0.5673166949758525
Inscripción UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,30.0,4.0,1.0,Nivel 2,1.0,1,0.06759417596581652
Reinscripción UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,15.0,2.0,0.0,Nivel 1,1.0,1,-0.14700738002920394
Certificado de Normas Técnicas de Competencia Laboral en CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 3.1,1.0,1,-0.02455535417978034
Autorización para el trabajo de mayores de 15 años y menores de 16,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,4.0,2.0,,0.0,3,0.9629165134208579
Inscripción a cursos de inglés,Secretaría de Educación Pública,Instituto Hidalguense de Educación,40.0,2.0,1.0,Nivel 1,1.0,1,-0.09058094958940263
Certificado de no Propiedad (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,1.0,2.0,,1.0,3,0.728725354677357
Certificado de Única Propiedad (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,1.0,2.0,Nivel 3.5,1.0,3,0.3176899785021233
Informes sobre Inscripción de Testamentos (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,2.0,Nivel 3.5,1.0,3,0.34636964549137067
Inscripción de Accesión de Terrenos Rústicos (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,7.0,1.0,Nivel 3.5,1.0,0,0.4412125562063567
"Inscripción de Actos Mercantiles, Rectificación (Registro Público de la Propiedad y del Comercio)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de Contratos que transmiten la Propiedad de Muebles con Limitaciones. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Inscripción de Escrituras Constitutivas de Personas Morales o Modificaciones de Capital (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,1.0,Nivel 3.5,1.0,0,-0.1712173811258771
Impartición de Justicia en Conflictos Laborales del Sector Privado,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,0.0,Nivel 1,0.0,2,0.025506544662815767
Impartición de justicia de conflictos laborales del sector público,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,518400.0,1.0,0.0,Nivel 1,0.0,2,0.06996073185061782
Celebración de Convenios Fuera de Juicio de los trabajadores al Servicio de los Gobiernos Estatal y Municipal.,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,1.0,0.0,,0.0,2,0.08422588411642051
"Registro de Sindicatos, Expedición de la Toma de Nota y Registro de Condiciones Generales de Trabajo de los Sindicatos al Servicio de los Gobiernos Estatal y Municipal del Estado de Hidalgo.",Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,518400.0,1.0,0.0,Nivel 1,0.0,2,0.06996073185061782
Tramitación de la Declaración de Beneficiarios de trabajadores al Servicio de los Gobiernos Estatal y Municipal.,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,1.0,Nivel 1,0.0,2,0.03373660168506829
Acuerdo que autoriza o niega el reconocimiento de validez oficial de estudios de tipo superior. (RVOE),Secretaría de Educación Pública,Secretaría de Educación Pública,86400.0,5.0,1.0,Nivel 2,1.0,1,0.5641592568015321
Registro y cotejo de documentos de alumnos inscritos en nivel licenciatura y posgrado,Secretaría de Educación Pública,Secretaría de Educación Pública,1440.0,3.0,1.0,Nivel 1,1.0,1,0.1011133817496818
Expedición de certificado de defunción,Secretaría de Salud,Secretaría de Salud,60.0,0.0,1.0,Nivel 1,0.0,2,-0.618944716324272
Inscripción de Poderes Civiles y Sustituciones (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.053169199905512166
Regularización de la propiedad,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,20.0,0.0,1.0,,1.0,1,-0.18066596408893942
Inscripción por Constitución del Patrimonio Familiar. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.35786617626972156
Ratificación de firmas. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.35786617626972156
Reinscripción ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,19.0,2.0,0.0,Nivel 1,1.0,1,-0.13269628841075157
Inscripción de alumnos a educación primaria. (de 2° a 6° grado),Secretaría de Educación Pública,Instituto Hidalguense de Educación,1440.0,3.0,0.0,Nivel 1,0.0,2,-0.34291281978269883
Sustitución del Cargo de Albacea. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,1,0.35786617626972156
Equivalencia de Estudios de Educación Media Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,5.0,1.0,Nivel 4.1,1.0,0,-0.15231172857859732
Revalidación de Estudios de Educación Media Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,5.0,1.0,Nivel 4.1,1.0,0,-0.15231172857859732
CURP (Clave Única de Registro de Población),Secretaría de Educación Pública,Instituto Hidalguense de Educación,2.0,1.0,0.0,Nivel 1,0.0,2,-0.5268254190485987
Registro de una institución de educación media superior y superior,Secretaría de Educación Pública,Secretaría de Educación Pública,2880.0,7.0,1.0,Nivel 2,1.0,1,0.581207852147922
Registro Profesional Estatal,Secretaría de Educación Pública,Secretaría de Educación Pública,60.0,7.0,5.0,Nivel 2,1.0,3,1.3994315410144191
Carta de No Inconveniente para Incorporación a una Institución Educativa,Secretaría de Educación Pública,Secretaría de Educación Pública,43200.0,6.0,1.0,,1.0,1,0.6371443670849338
Informe de antecedentes profesionales,Secretaría de Educación Pública,Secretaría de Educación Pública,2880.0,1.0,1.0,Nivel 2,1.0,1,-0.03122208518431182
Registro como unidad receptora de servicio social,Secretaría de Educación Pública,Secretaría de Educación Pública,1440.0,2.0,1.0,Nivel 4.1,0.0,0,-0.9805954967500993
Registro de Colegio de Profesionistas y Federación,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,3.0,1.0,Nivel 2,1.0,1,0.20005630151287873
Ampliaciones de autorizaciones para profesionistas,Secretaría de Educación Pública,Secretaría de Educación Pública,60.0,3.0,2.0,Nivel 2,1.0,3,0.393767296569864
Servicio Médico Hospitalario,Secretaría de Salud,Secretaría de Salud,2880.0,3.0,0.0,Nivel 1,1.0,1,0.13731537846740535
Por la actualización de opiniones técnicas de factibilidad,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,1,0.21732142494413945
Por la impartición de cursos de capacitación a personas físicas o morales del sector privado,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,1,0.21732142494413945
Atención Integral a personas adultas mayores de 60 años en el Centro Estatal de Atención Geriátrica Integral (CESAGI),Secretaría de Salud,Secretaría de Salud,120.0,0.0,0.0,Nivel 1,1.0,1,-0.14745217287955384
Atención Integral a Mayores de 20 años con Enfermedades Crónico-Degenerativas (UNEME EC),Secretaría de Salud,Secretaría de Salud,2880.0,2.0,1.0,Nivel 1,0.0,2,-0.29025070902047023
Permiso de Libros de Control de Estupefacientes y Psicotrópicos,Secretaría de Salud,Secretaría de Salud,7200.0,4.0,0.0,Nivel 1,0.0,2,0.04957480387867506
Certificado de Calidad del Agua de Sistemas Públicos y Privados,Secretaría de Salud,Secretaría de Salud,86400.0,2.0,0.0,Nivel 1,1.0,1,0.37982317478831235
Titulación UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,25.0,6.0,0.0,Nivel 4.1,1.0,0,-0.5269571845754069
Solicitud de Licencia Sanitaria para servicios urbanos de fumigación y control de plagas.,Secretaría de Salud,Secretaría de Salud,86400.0,2.0,0.0,Nivel 1,1.0,1,0.37982317478831235
Reinscripción UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,20.0,3.0,2.0,,1.0,3,0.45496924374867315
Asesorías Complementarias Intersemestrales CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,1.0,1.0,Nivel 1,1.0,1,-0.01693479947068306
Asesorías Complementarias Semestrales CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,1.0,1.0,Nivel 1,1.0,1,-0.01693479947068306
Cursos de capacitación,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 3.1,1.0,1,-0.14260353540014523
Reposición de Credencial de CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,1.0,1.0,Nivel 1,1.0,1,-0.01693479947068306
Reposición de Certificado de terminación de estudios CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,3.0,1.0,Nivel 1,1.0,1,0.1011133817496818
"Opinión favorable para actividades relacionadas con armas, municiones, pólvoras y explosivos, artificios y substancias químicas relacionadas con explosivos.",Secretaría de Gobierno,Secretaría de Gobierno,388800.0,5.0,1.0,Nivel 1,1.0,1,0.8484103142570365
Acuerdo de Actualización del Plan y Programa de Estudios,Secretaría de Educación Pública,Secretaría de Educación Pública,28800.0,4.0,1.0,Nivel 1,1.0,1,0.552421665028171
Expedición de la Carta de Opinión de Pertinencia de Planes y Programas de Estudios de tipo Superior solicitada ante la COEPEES,Secretaría de Educación Pública,Secretaría de Educación Pública,172800.0,3.0,1.0,Nivel 1,1.0,1,0.5615769462567615
Programa de Atención Médica Contra Accidentes Para Escolares en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,3.0,0.0,Nivel 1,0.0,2,-0.34291281978269883
Becas ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,34560.0,1.0,2.0,Nivel 1,0.0,3,0.29303164359130796
Por la elaboración de constancia de seguridad por unidad de transporte de materiales peligrosos,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,1,0.21732142494413945
Inscripción a cursos de capacitación en línea del ICATHI,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,30.0,1.0,1.0,Nivel 1,1.0,1,-0.22656003024551574
"Autenticación de título, diploma o grado académico",Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,12.0,1.0,Nivel 1,1.0,1,1.1126712516506179
"Diseño, tendido y corte de tela para el ensamble de prendas de vestir en el ICATHI",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,60.0,1.0,0.0,Nivel 1,1.0,1,-0.19137862883639634
Atención médica.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,60.0,0.0,0.0,,0.0,2,-0.5684554338929197
Admisión UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,1460.0,3.0,1.0,,1.0,1,0.16071673263406824
Cancelación de Hipoteca y Reserva de Dominio,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,4.0,1.0,,1.0,1,0.1850328548730261
"Representación Legal a Trabajadores, Sindicatos y Beneficiarios",Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,1.0,0.0,Nivel 1,0.0,2,0.025506544662815767
Denuncia y/o queja a posibles violaciones o incumplimientos a las norma de trabajo,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,21600.0,0.0,0.0,Nivel 1,0.0,2,-0.2629275459366288
Emisión de estado de cuenta,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,2.0,1.0,Nivel 1,1.0,1,-0.10851184902515087
Reestructuración de crédito,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,45.0,1.0,1.0,,0.0,2,-0.5783260778720745
Constancia de Viabilidad,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,7.0,2.0,Nivel 1,1.0,3,0.9034569337039657
Atención de trabajo social,Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,2,-0.5799385156548489
Prestación de servicios de Marketing Deportivo del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,15.0,0.0,1.0,Nivel 1,1.0,1,-0.25682550422731637
Albergue Revolución,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,2,-0.40224166154945895
Autorización de cambio de titular del Centro de Verificación Vehicular,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,0.0,2.0,,1.0,3,0.8018578480372446
Permiso de Publicidad Modalidad A Productos y Servicios,Secretaría de Salud,Secretaría de Salud,21600.0,4.0,1.0,Nivel 1,1.0,1,0.533972201260689
Solicitud de Visita de Verificación de materia prima y medicamentos que sean o contengan estupefacientes o psicotrópicos Modalidad A. Balance,Secretaría de Salud,Secretaría de Salud,43200.0,1.0,0.0,Nivel 1,0.0,2,-0.21847471956598863
"Reportes, Quejas y Sugerencias del Servicio Tuzobús",Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,21600.0,2.0,1.0,Nivel 2,0.0,2,-0.19536864714761615
Expedición de Tarjetón para Personas Conductoras del Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,1440.0,13.0,2.0,Nivel 1,1.0,3,1.472596019051064
Renovación del Tarjetón para Personas Conductoras del Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,1440.0,9.0,1.0,Nivel 1,1.0,1,0.5954951378615508
Centro de Expresión Juvenil,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,11520.0,0.0,0.0,,0.0,2,-0.2144395229846824
Inscripción 1er Semestre Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,5.0,0.0,Nivel 1,1.0,1,0.1180834583971688
Readmision UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,1.0,Nivel 2,1.0,1,-0.2852793696991206
Examen de Recuperación UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,,1.0,1,-0.17607074781416351
Bitácora de Operación de Equipos y Procesos Generadores de Emisiones a la Atmósfera,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,2.0,0.0,,1.0,1,0.3940889456181092
Autorización en materia de impacto ambiental del transporte de residuos de manejo especial generados en procesos industriales y de servicios.,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,86400.0,7.0,1.0,Nivel 2,1.0,1,0.8237156484688288
Inscripción de registro de perito valuador (Catastral),Secretaría de Hacienda,Instituto Catastral,172800.0,2.0,2.0,Nivel 1,1.0,3,1.0791639728740092
Puntos Topográficos con referencia de localización.,Secretaría de Hacienda,Instituto Catastral,4320.0,2.0,1.0,,1.0,1,0.28473962000753017
Restitución fotogramétrica escala 1:1000.,Secretaría de Hacienda,Instituto Catastral,4320.0,0.0,1.0,,1.0,1,0.16669143878716525
"Constancias de calificaciones, reportes de evaluación y certificación de educación básica",Secretaría de Educación Pública,Instituto Hidalguense de Educación,5760.0,3.0,1.0,Nivel 4.1,1.0,0,-0.4014459581140345
