Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z
Constancia de Vehículo No Robado,Procuraduría General de Justicia,Procuraduría General de Justicia,4320.0,7.0,1.0,Nivel 3.1,1.0,1,0.6029633577585847
Permiso provisional para conducir,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,15.0,4.0,1.0,Nivel 1,1.0,1,0.09604804143762072
Reinscripción UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,1.0,0.0,,1.0,1,0.03355448296066921
"Descuento a adultos mayores, personas con capacidades diferentes, pensionados y jubilados.",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,0.0,1.0,,1.0,1,0.04178453998292173
Examen de admisión de CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,5.0,0.0,Nivel 1,1.0,1,0.32770868917200147
"Publicaciones en el Periódico Oficial, que se realizan por una Plana y Media Plana.",Secretaría de Gobierno,Secretaría de Gobierno,30.0,0.0,0.0,Nivel 1,1.0,1,-0.23479008726776826
Inscripción UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,20.0,2.0,2.0,Nivel 1,1.0,3,0.39624990429506846
Expedición Tarjeta Preferente Tuzobús para la Persona Adulta Mayor,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,20.0,3.0,1.0,Nivel 1,1.0,1,-0.1213371223221793
Admisión UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,15.0,2.0,0.0,Nivel 3.7,1.0,0,-0.6167620956580425
Reposición de la Tarjeta Preferente Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,20.0,2.0,1.0,Nivel 1,1.0,1,-0.1213371223221793
Por la Expedición de Copias Certificadas de Escrituras Resguardadas en el Archivo General de Notarías,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,1,0.04178453998292173
Cursos musicales EMEH,Secretaría de Cultura,Escuela de Música del Estado de Hidalgo,1440.0,1.0,0.0,,1.0,1,0.03355448296066921
Inscripción UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,10.0,3.0,2.0,Nivel 4.1,1.0,0,-0.29113362526864983
Titulación UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,259200.0,6.0,1.0,Nivel 1,1.0,1,0.8224062918601336
Reinscripción UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,5.0,0.0,0.0,Nivel 3.5,1.0,0,-0.6802761149031873
Solicitud de Examen de Admisión UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,3.0,1.0,Nivel 1,1.0,1,0.14554543548965787
Solicitud de examen de admisión UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,4.0,1.0,,1.0,1,0.3946580856478588
Prestación de servicios de la Alberca semiolímpica del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,60.0,3.0,3.0,Nivel 2,1.0,3,0.756948682962608
Reposición de Credencial UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,480.0,1.0,0.0,Nivel 1,1.0,1,0.1317459031734372
Constancia Escolar UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,1455.0,1.0,0.0,,1.0,1,0.0342186312557071
Publicación en el Periódico Oficial de Avisos Judiciales que deberán publicarse por disposición de Ley.,Secretaría de Gobierno,Secretaría de Gobierno,20.0,0.0,0.0,Nivel 1,1.0,1,-0.2476153605647967
"Certificación en estándares de competencia del CONOCER, a través del ICATHI",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,30.0,2.0,0.0,Nivel 1,1.0,1,-0.1167419060474034
Inscripción UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,6.0,0.0,,1.0,1,0.38642802862560627
Inscripción a los cursos de capacitación presenciales del ICATHI,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,60.0,1.0,1.0,Nivel 3.1,1.0,1,-0.3005872507213535
Titulación UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,518400.0,8.0,0.0,Nivel 3.9,1.0,0,0.5309934191569315
Emisión de constancias de estudio UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,10.0,1.0,0.0,Nivel 1,1.0,1,-0.28908615613886196
Certificado de Estudios UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,21600.0,1.0,0.0,Nivel 1,1.0,1,0.17286859857349932
Admisión- UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,1440.0,3.0,0.0,,1.0,1,0.15160266418103413
Historial Académico UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,180.0,1.0,0.0,Nivel 3.7,1.0,0,-0.4006914889244671
Titulación UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,7.0,2.0,Nivel 3.1,1.0,3,1.0400755393115648
Inscripción UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,5.0,0.0,Nivel 4.3,1.0,0,-0.3912106699848851
Credencialización UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,15.0,0.0,0.0,Nivel 3.5,1.0,0,-0.6173715979711979
Capacitación en elaboración de quesos y derivados lácteos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,14400.0,1.0,1.0,Nivel 2,0.0,2,-0.3093381666019477
Constancia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,3.0,1.0,Nivel 1,1.0,1,-0.1076397580080736
Inscripción a cursos de Educación Continua UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,4320.0,1.0,1.0,Nivel 2,1.0,1,0.04925275987995568
Servicio de Diseño de Imagen Corporativa o Logotipo,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,1440.0,1.0,0.0,,1.0,1,0.03355448296066921
Titulación UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,216000.0,6.0,0.0,Nivel 1,1.0,1,0.8024832710687374
